Country/Region,Date,R,ci_65_l,ci_65_u
Brazil,2022-08-30,,,
Brazil,2022-08-31,,,
Brazil,2022-09-01,,,
Brazil,2022-09-02,,,
Brazil,2022-09-03,,,
Brazil,2022-09-04,,,
Brazil,2022-09-05,,,
Brazil,2022-09-06,,,
Brazil,2022-09-07,,,
Brazil,2022-09-08,,,
Brazil,2022-09-09,,,
Brazil,2022-09-10,,,
Brazil,2022-09-11,,,
Brazil,2022-09-12,,,
Brazil,2022-09-13,,,
Brazil,2022-09-14,,,
Brazil,2022-09-15,,,
Brazil,2022-09-16,,,
Brazil,2022-09-17,,,
Brazil,2022-09-18,,,
Brazil,2022-09-19,,,
Brazil,2022-09-20,,,
Brazil,2022-09-21,,,
Brazil,2022-09-22,,,
